angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
185,resampled_image,full_image,gd,8,0.155114,0.0517336,0.153938,0.0504266,0.0250528,0.0162184,1.01515,0.657109
185,resampled_image,random,adam,8,0.604387,0.139147,0.602944,0.136815,0.119012,0.127903,4.83,5.20177
185,resampled_image,random,gd,8,0.374158,0.153439,0.37605,0.15878,0.0645998,0.0326792,2.61766,1.3245
195,rotated_directions,full_image,adam,8,0.634771,0.0989286,0.635292,0.101769,0.159356,0.0577296,6.46085,2.34362
195,rotated_directions,full_image,gd,8,0.0647925,0.0677687,0.0648803,0.0682868,0.00963642,0.00840532,0.390562,0.340409
195,rotated_directions,random,adam,8,0.697546,0.0670236,0.700594,0.0773649,0.169717,0.087565,6.88298,3.55482
195,rotated_directions,random,gd,8,0.386063,0.116137,0.390709,0.124644,0.0752254,0.0317727,3.04825,1.28788
195,resampled_image,full_image,adam,8,0.634691,0.0908394,0.640415,0.0974929,0.144066,0.0591854,5.84048,2.40215
195,resampled_image,full_image,gd,8,0.165153,0.0792436,0.165325,0.082,0.0269395,0.0162944,1.09149,0.660204
195,resampled_image,random,adam,8,0.696106,0.100915,0.69304,0.0974656,0.167999,0.0716232,6.81241,2.90842
195,resampled_image,random,gd,8,0.385193,0.135158,0.390125,0.143806,0.0699251,0.0823402,2.83513,3.34168
205,rotated_directions,full_image,adam,8,0.734602,0.106098,0.721337,0.0956155,0.229114,0.101278,9.29848,4.12426
205,rotated_directions,full_image,gd,8,0.0585611,0.0525293,0.0585514,0.0527016,0.0100284,0.0084083,0.405377,0.341576
205,rotated_directions,random,adam,8,0.777761,0.113447,0.780448,0.115884,0.21472,0.119676,8.71512,4.8695
205,rotated_directions,random,gd,8,0.377641,0.13286,0.372908,0.128371,0.0629725,0.026926,2.55155,1.09124
205,resampled_image,full_image,adam,8,0.737758,0.106365,0.72333,0.0935089,0.236569,0.110539,9.60322,4.50545
205,resampled_image,full_image,gd,8,0.13013,0.0392226,0.129051,0.0387464,0.0222805,0.00891988,0.902566,0.361446
205,resampled_image,random,adam,8,0.776002,0.0781269,0.783627,0.0659623,0.305855,0.211875,12.4558,8.70439
